State: 37, Symbol: while -> Reduce, Production ID: 23
State: 37, Symbol: } -> Reduce, Production ID: 23
State: 38, Symbol: = -> Shift, Next State: 46
State: 39, Symbol: ( -> Shift, Next State: 53
State: 39, Symbol: ; -> Shift, Next State: 47
State: 39, Symbol: ID -> Shift, Next State: 54
State: 39, Symbol: NUM -> Shift, Next State: 52
State: 39, Symbol: add_expression -> Shift, Next State: 49
State: 39, Symbol: expression -> Shift, Next State: 48
State: 39, Symbol: factor -> Shift, Next State: 51
State: 39, Symbol: item -> Shift, Next State: 50
State: 40, Symbol: ( -> Reduce, Production ID: 31
State: 40, Symbol: ID -> Reduce, Production ID: 31
State: 40, Symbol: M -> Shift, Next State: 55
State: 40, Symbol: if -> Reduce, Production ID: 31
State: 40, Symbol: return -> Reduce, Production ID: 31
State: 40, Symbol: while -> Reduce, Production ID: 31
State: 40, Symbol: { -> Reduce, Production ID: 31
State: 41, Symbol: ( -> Shift, Next State: 56
State: 42, Symbol: ID -> Reduce, Production ID: 15
State: 42, Symbol: if -> Reduce, Production ID: 15
State: 42, Symbol: inner_declare -> Shift, Next State: 57
State: 42, Symbol: inner_var_declare -> Shift, Next State: 30
State: 42, Symbol: int -> Shift, Next State: 31
State: 42, Symbol: return -> Reduce, Production ID: 15
State: 42, Symbol: while -> Reduce, Production ID: 15
State: 43, Symbol: ; -> Reduce, Production ID: 17
State: 44, Symbol: # -> Reduce, Production ID: 14
State: 44, Symbol: ID -> Reduce, Production ID: 14
State: 44, Symbol: else -> Reduce, Production ID: 14
State: 44, Symbol: if -> Reduce, Production ID: 14
State: 44, Symbol: int -> Reduce, Production ID: 14
State: 44, Symbol: return -> Reduce, Production ID: 14
State: 44, Symbol: void -> Reduce, Production ID: 14
State: 44, Symbol: while -> Reduce, Production ID: 14
State: 44, Symbol: } -> Reduce, Production ID: 14
State: 45, Symbol: ID -> Shift, Next State: 38
State: 45, Symbol: assign_sentence -> Shift, Next State: 37
State: 45, Symbol: if -> Shift, Next State: 41
State: 45, Symbol: if_sentence -> Shift, Next State: 34
State: 45, Symbol: return -> Shift, Next State: 39
State: 45, Symbol: return_sentence -> Shift, Next State: 36
State: 45, Symbol: sentence -> Shift, Next State: 33
State: 45, Symbol: sentence_list -> Shift, Next State: 58
State: 45, Symbol: while -> Shift, Next State: 40
State: 45, Symbol: while_sentence -> Shift, Next State: 35
State: 46, Symbol: ( -> Shift, Next State: 53
State: 46, Symbol: ID -> Shift, Next State: 54
State: 46, Symbol: NUM -> Shift, Next State: 52
State: 46, Symbol: add_expression -> Shift, Next State: 49
State: 46, Symbol: expression -> Shift, Next State: 59
State: 46, Symbol: factor -> Shift, Next State: 51
State: 46, Symbol: item -> Shift, Next State: 50
State: 47, Symbol: ID -> Reduce, Production ID: 25
State: 47, Symbol: if -> Reduce, Production ID: 25
State: 47, Symbol: return -> Reduce, Production ID: 25
State: 47, Symbol: while -> Reduce, Production ID: 25
State: 47, Symbol: } -> Reduce, Production ID: 25
State: 48, Symbol: ; -> Shift, Next State: 60
State: 49, Symbol: != -> Shift, Next State: 66
State: 49, Symbol: ) -> Reduce, Production ID: 32
State: 49, Symbol: , -> Reduce, Production ID: 32
State: 49, Symbol: ; -> Reduce, Production ID: 32
State: 49, Symbol: < -> Shift, Next State: 62
State: 49, Symbol: <= -> Shift, Next State: 65
State: 49, Symbol: == -> Shift, Next State: 63
State: 49, Symbol: > -> Shift, Next State: 61
State: 49, Symbol: >= -> Shift, Next State: 64
State: 50, Symbol: != -> Reduce, Production ID: 39
State: 50, Symbol: ) -> Reduce, Production ID: 39
State: 50, Symbol: + -> Shift, Next State: 67
State: 50, Symbol: , -> Reduce, Production ID: 39
State: 50, Symbol: - -> Shift, Next State: 68
State: 50, Symbol: ; -> Reduce, Production ID: 39
State: 50, Symbol: < -> Reduce, Production ID: 39
State: 50, Symbol: <= -> Reduce, Production ID: 39
State: 50, Symbol: == -> Reduce, Production ID: 39
State: 50, Symbol: > -> Reduce, Production ID: 39
State: 50, Symbol: >= -> Reduce, Production ID: 39
State: 51, Symbol: != -> Reduce, Production ID: 42
State: 51, Symbol: ) -> Reduce, Production ID: 42
State: 51, Symbol: * -> Shift, Next State: 69
State: 51, Symbol: + -> Reduce, Production ID: 42
State: 51, Symbol: , -> Reduce, Production ID: 42
State: 51, Symbol: - -> Reduce, Production ID: 42
State: 51, Symbol: / -> Shift, Next State: 70
State: 51, Symbol: ; -> Reduce, Production ID: 42
State: 51, Symbol: < -> Reduce, Production ID: 42
State: 51, Symbol: <= -> Reduce, Production ID: 42
State: 51, Symbol: == -> Reduce, Production ID: 42
State: 51, Symbol: > -> Reduce, Production ID: 42
State: 51, Symbol: >= -> Reduce, Production ID: 42
State: 52, Symbol: != -> Reduce, Production ID: 45
State: 52, Symbol: ) -> Reduce, Production ID: 45
State: 52, Symbol: * -> Reduce, Production ID: 45
State: 52, Symbol: + -> Reduce, Production ID: 45
State: 52, Symbol: , -> Reduce, Production ID: 45
State: 52, Symbol: - -> Reduce, Production ID: 45
State: 52, Symbol: / -> Reduce, Production ID: 45
State: 52, Symbol: ; -> Reduce, Production ID: 45
State: 52, Symbol: < -> Reduce, Production ID: 45
State: 52, Symbol: <= -> Reduce, Production ID: 45
State: 52, Symbol: == -> Reduce, Production ID: 45
State: 52, Symbol: > -> Reduce, Production ID: 45
State: 52, Symbol: >= -> Reduce, Production ID: 45
State: 53, Symbol: ( -> Shift, Next State: 53
State: 53, Symbol: ID -> Shift, Next State: 54
State: 53, Symbol: NUM -> Shift, Next State: 52
State: 53, Symbol: add_expression -> Shift, Next State: 49
State: 53, Symbol: expression -> Shift, Next State: 71
State: 53, Symbol: factor -> Shift, Next State: 51
State: 53, Symbol: item -> Shift, Next State: 50
State: 54, Symbol: != -> Reduce, Production ID: 48
State: 54, Symbol: ( -> Shift, Next State: 72
State: 54, Symbol: ) -> Reduce, Production ID: 48
State: 54, Symbol: * -> Reduce, Production ID: 48
State: 54, Symbol: + -> Reduce, Production ID: 48
State: 54, Symbol: , -> Reduce, Production ID: 48
State: 54, Symbol: - -> Reduce, Production ID: 48
State: 54, Symbol: / -> Reduce, Production ID: 48
State: 54, Symbol: ; -> Reduce, Production ID: 48
State: 54, Symbol: < -> Reduce, Production ID: 48
State: 54, Symbol: <= -> Reduce, Production ID: 48
State: 54, Symbol: == -> Reduce, Production ID: 48
State: 54, Symbol: > -> Reduce, Production ID: 48
State: 54, Symbol: >= -> Reduce, Production ID: 48
State: 55, Symbol: ( -> Shift, Next State: 73
State: 56, Symbol: ( -> Shift, Next State: 53
State: 56, Symbol: ID -> Shift, Next State: 54
State: 56, Symbol: NUM -> Shift, Next State: 52
State: 56, Symbol: add_expression -> Shift, Next State: 49
State: 56, Symbol: expression -> Shift, Next State: 74
State: 56, Symbol: factor -> Shift, Next State: 51
State: 56, Symbol: item -> Shift, Next State: 50
State: 57, Symbol: ID -> Reduce, Production ID: 16
State: 57, Symbol: if -> Reduce, Production ID: 16
State: 57, Symbol: return -> Reduce, Production ID: 16
State: 57, Symbol: while -> Reduce, Production ID: 16
State: 58, Symbol: } -> Reduce, Production ID: 18
State: 59, Symbol: ; -> Shift, Next State: 75
State: 60, Symbol: ID -> Reduce, Production ID: 26
State: 60, Symbol: if -> Reduce, Production ID: 26
State: 60, Symbol: return -> Reduce, Production ID: 26
State: 60, Symbol: while -> Reduce, Production ID: 26
State: 60, Symbol: } -> Reduce, Production ID: 26
State: 61, Symbol: ( -> Shift, Next State: 53
State: 61, Symbol: ID -> Shift, Next State: 54
State: 61, Symbol: NUM -> Shift, Next State: 52
State: 61, Symbol: add_expression -> Shift, Next State: 76
